Names,Prices,Link,Image Link
"
                                Lenovo V15-ADA 82C7001KTX Ryzen 3-3250U 15.6"" 256 GB SSD 8 GB RAM Free Dos Dizüstü Bilgisayar","4.099,00
                TL
",https://www.n11.com/urun/lenovo-v15-ada-82c7001ktx-ryzen-3-3250u-156-256-gb-ssd-8-gb-ram-free-dos-dizustu-bilgisayar-1679872?magaza=gti-bilisim,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v15-ada-82c7001ktx-ryzen-3-3250u-156-256-gb-ssd-8-gb-ram-free-dos-dizustu-bilgisayar__0934031536732818.png
"
                                Asus VivoBook 15 X512DA-BQ555 Ryzen 5-3500U 8 GB 256 GB SSD 15.6” Free Dos Dizüstü Bilgisayar","4.999,99
                TL
",https://www.n11.com/urun/asus-vivobook-15-x512da-bq555-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-1965846?magaza=incehesap,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-vivobook-15-x512da-bq555-ryzen-5-3500u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar__1540985598461139.jpg
"
                                Acer Aspire 5 A514-53-34YC NX.HUNEY.001 i3-1005G1 4 GB RAM 256 GB SSD 14"" W10H Dizüstü Bilgisayar","4.199,99
                TL
",https://www.n11.com/urun/acer-aspire-5-a514-53-34yc-nxhuney001-i3-1005g1-4-gb-ram-256-gb-ssd-14-w10h-dizustu-bilgisayar-1578082?magaza=dotech,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/acer-aspire-5-a514-53-34yc-nxhuney001-i3-1005g1-4-gb-ram-256-gb-ssd-14-w10h-dizustu-bilgisayar__0581222427060683.jpg
"
                                Asus TUF Gaming FX506LI-HN039 i5-10300H 8 GB 512 GB SSD 4 GB GTX1650Ti Free Dos Dizüstü Bilgisayar","8.299,00
                TL
",https://www.n11.com/urun/asus-tuf-gaming-fx506li-hn039-i5-10300h-8-gb-512-gb-ssd-4-gb-gtx1650ti-free-dos-dizustu-bilgisayar-1976798?magaza=gamers-arena,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/asus-tuf-gaming-fx506li-hn039-i5-10300h-8-gb-512-gb-ssd-4-gb-gtx1650ti-free-dos-dizustu-bilgisayar__1153573263797669.jpg
"
                HP 15-GW0003NT 1U9K8EA Athlon Silver 3050U 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar","3.999,00
                TL
",https://www.n11.com/urun/hp-15-gw0003nt-1u9k8ea-athlon-silver-3050u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-1984362?magaza=mtbilisim,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-gw0003nt-1u9k8ea-athlon-silver-3050u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar__1524597215332042.jpg
"
                Lenovo ThinkBook 15 G2 20VE0072TX i5-1135G7 8 GB 256 GB SSD 2 GB MX450 15.6"" W10H Dizüstü Bilgisayar","7.249,99
                TL
",https://www.n11.com/urun/lenovo-thinkbook-15-g2-20ve0072tx-i5-1135g7-8-gb-256-gb-ssd-2-gb-mx450-156-w10h-dizustu-bilgisayar-1827519?magaza=bisistem,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-20ve0072tx-i5-1135g7-8-gb-256-gb-ssd-2-gb-mx450-156-w10-fhd-dizustu-bilgisayar__1192671288535842.jpg
"
                                Apple MacBook Air MGND3TU/A Apple M1 8 GB RAM 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Altın","9.879,99
                TL
",https://www.n11.com/urun/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar-altin-1722257?magaza=erdem-teknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar__0710601743562865.jpg
"
                                Lenovo V15-IIL 82C500R2TXS i5-1035G1 8 GB 512 GB SSD 2 GB MX330 15.6"" Dizüstü Bilgisayar","6.059,99
                TL
",https://www.n11.com/urun/lenovo-v15-iil-82c500r2txs-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx330-156-dizustu-bilgisayar-1773034?magaza=techburada,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/lenovo-v15-iil-82c500r2txs-i5-1035g1-8-gb-512-gb-ssd-2-gb-mx330-156-dizustu-bilgisayar__1267939802477709.jpg
"
                                HP Pavilion 14-DV0004NT 2W6J2EA i7-1165G7 8 GB 512 GB SSD 2 GB MX450 14"" W10H Dizüstü Bilgisayar","8.999,00
                TL
",https://www.n11.com/urun/hp-pavilion-14-dv0004nt-2w6j2ea-i7-1165g7-8-gb-512-gb-ssd-2-gb-mx450-14-w10h-dizustu-bilgisayar-1800569?magaza=indirim-yeri,https://n11scdn3.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-pavilion-14-dv0004nt-2w6j2ea-i7-1165g7-8-gb-512-gb-ssd-2-gb-mx450-14-w10h-dizustu-bilgisayar__0572405753628888.jpg
"
                                Apple MacBook Air MGND3TU/A Apple M1 8 GB RAM 256 GB SSD 13.3"" MacOS Dizüstü Bilgisayar Altın","9.749,99
                TL
",https://www.n11.com/urun/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar-altin-1722257?magaza=centralteknoloji,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/apple-macbook-air-mgnd3tua-apple-m1-8-gb-ram-256-gb-ssd-133-macos-dizustu-bilgisayar__0710601743562865.jpg
