Names,Prices,Link,Image Link
"
                HP 15S-EQ1002NT 9YH95EA Athlon 3050U 4 GB 256 GB SSD Free Dos Dizüstü Bilgisayar",₺3199.99,https://www.n11.com/urun/hp-15s-eq1002nt-9yh95ea-athlon-3050u-4-gb-256-gb-ssd-free-dos-dizustu-bilgisayar-1762948?magaza=mtbilisim,https://n11scdn.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15s-eq1002nt-9yh95ea-athlon-3050u-4-gb-256-gb-ssd-free-dos-dizustu-bilgisayar__0145068399080875.png
"
                                HP 14S-FQ0014NT 227D6EA AMD Ryzen 3-3250U 4 GB 128 GB SSD 14"" W10H Dizüstü Bilgisayar",₺3499.0,https://www.n11.com/urun/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar-1680984?magaza=marmaraavm,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar__0654269325659586.png
"
                                HP 14S-FQ0014NT 227D6EA AMD Ryzen 3-3250U 4 GB 128 GB SSD 14"" W10H Dizüstü Bilgisayar",₺3499.0,https://www.n11.com/urun/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar-1680984?magaza=marmaraavm,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-14s-fq0014nt-227d6ea-amd-ryzen-3-3250u-4-gb-128-gb-ssd-14-w10h-dizustu-bilgisayar__0654269325659586.png
"
                                HP 255 G7 2M3E3ES Ryzen 5-3500U 4 GB 256 GB SSD 15.6"" Free Dos HD Dizüstü Bilgisayar",₺3949.99,https://www.n11.com/urun/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-256-gb-ssd-156-free-dos-hd-dizustu-bilgisayar-1701086?magaza=butcemegore,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-ram-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0213651430625214.jpg
"
                                HP 255 G7 2M3E3ES Ryzen 5-3500U 4 GB 256 GB SSD 15.6"" Free Dos HD Dizüstü Bilgisayar",₺3949.99,https://www.n11.com/urun/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-256-gb-ssd-156-free-dos-hd-dizustu-bilgisayar-1701086?magaza=butcemegore,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-255-g7-2m3e3es-ryzen-5-3500u-4-gb-ram-256-gb-ssd-156-free-dos-dizustu-bilgisayar__0213651430625214.jpg
"
                HP 15-GW0003NT 1U9K8EA Athlon Silver 3050U 8 GB 256 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",₺3999.0,https://www.n11.com/urun/hp-15-gw0003nt-1u9k8ea-athlon-silver-3050u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar-1984362?magaza=mtbilisim,https://n11scdn2.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-gw0003nt-1u9k8ea-athlon-silver-3050u-8-gb-256-gb-ssd-156-free-dos-dizustu-bilgisayar__1524597215332042.jpg
"
                                HP 250 G7 197Q9EA i3-1005G1 8 GB 256 GB SSD 15.6"" W10H Dizüstü Bilgisayar",₺4389.0,https://www.n11.com/urun/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar-1981559?magaza=indirim-yeri,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar__0656328865139516.jpg
"
                                HP 250 G7 197Q9EA i3-1005G1 8 GB 256 GB SSD 15.6"" W10H Dizüstü Bilgisayar",₺4389.0,https://www.n11.com/urun/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar-1981559?magaza=indirim-yeri,https://n11scdn1.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-250-g7-197q9ea-i3-1005g1-8-gb-256-gb-ssd-156-w10h-dizustu-bilgisayar__0656328865139516.jpg
"
                                HP 15-DA2044NT 1E0S2EA03 i3-10110U 8 GB RAM 256 GB SSD 15.6"" W10H HD Dizüstü Bilgisayar",₺4481.28,https://www.n11.com/urun/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar-1654257?magaza=teknoraks,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar__1155391275935279.png
"
                                HP 15-DA2044NT 1E0S2EA03 i3-10110U 8 GB RAM 256 GB SSD 15.6"" W10H HD Dizüstü Bilgisayar",₺4481.28,https://www.n11.com/urun/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar-1654257?magaza=teknoraks,https://n11scdn4.akamaized.net/a1/140/elektronik/dizustu-bilgisayar/hp-15-da2044nt-1e0s2ea03-i3-10110u-8-gb-ram-256-gb-ssd-156-w10h-hd-dizustu-bilgisayar__1155391275935279.png
